Season,Country_Winners,Winners,Score,Runners_up,Country_Runners_up,Venue,Attendance,Countries,Goals_Winner,Goals_Runner_up,Total_Goals
2018–19,England,Liverpool,2–0,Tottenham Hotspur,England,"Metropolitano Stadium, Madrid, Spain",63272.0,England vs England,2.0,0.0,2.0
2019–20,Germany,Bayern Munich,1–0,Paris Saint-Germain,France,"Estádio da Luz, Lisbon, Portugal",,Germany vs France,1.0,0.0,1.0
2020–21,England,Chelsea,1–0,Manchester City,England,"Estádio do Dragão, Porto, Portugal",,England vs England,1.0,0.0,1.0
2021–22,Spain,Real Madrid,1–0,Liverpool,England,"Stade de France, Saint-Denis, France",75000.0,Spain vs England,1.0,0.0,1.0
2022–23,England,Manchester City,1–0,Inter Milan,Italy,"Atatürk Olympic Stadium, Istanbul, Turkey",71412.0,England vs Italy,1.0,0.0,1.0
2023–24,Spain,Real Madrid,2–0,Borussia Dortmund,Germany,"Wembley Stadium, London, England",86212.0,Spain vs Germany,2.0,0.0,2.0
Upcoming finals,,,nan,,,,,,,,
Season,Country,Finalist,Match,Finalist,Country,Venue,,Country vs Country,,,
2024–25,,,v,,,"Allianz Arena, Munich, Germany",,,,,
2025–26,,,v,,,"Puskás Aréna, Budapest, Hungary",,,,,
